apparentTemperature,cloudCover,dateKey,dewPoint,hourKey,humidity,icon,precipIntensity,precipProbability,precipType,pressure,summary,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
52.2,0.0,20190105,34.95,08,0.52,clear-night,0.0,0.0,,1014.92,Clear,52.2,1546675200,0,9.97,71,5.55,1.34
51.25,0.0,20190105,34.95,09,0.54,clear-night,0.0,0.0,,1014.82,Clear,51.25,1546678800,0,9.72,75,4.78,1.79
50.75,0.0,20190105,36.63,10,0.58,clear-night,0.0,0.0,,1014.33,Clear,50.75,1546682400,0,9.51,49,4.74,1.3
50.43,0.02,20190105,36.37,11,0.58,clear-night,0.0,0.0,,1013.66,Clear,50.43,1546686000,0,9.83,51,5.31,2.07
51.31,0.03,20190105,35.94,12,0.56,clear-night,0.0,0.0,,1013.19,Clear,51.31,1546689600,0,9.99,93,6.44,1.93
50.54,0.02,20190105,36.66,13,0.59,clear-night,0.0,0.0,,1013.32,Clear,50.54,1546693200,0,9.99,79,6.69,1.62
50.56,0.06,20190105,36.98,14,0.6,clear-night,0.0,0.0,,1013.54,Clear,50.56,1546696800,0,9.98,61,5.7,1.36
50.59,0.45,20190105,37.94,15,0.62,partly-cloudy-night,0.0,0.0,,1014.19,Partly Cloudy,50.59,1546700400,0,9.35,50,6.61,1.28
51.05,0.28,20190105,38.5,16,0.62,partly-cloudy-day,0.0,0.0,,1014.81,Partly Cloudy,51.05,1546704000,0,9.51,69,4.35,0.99
52.35,0.41,20190105,39.23,17,0.61,partly-cloudy-day,0.0,0.0,,1016.02,Partly Cloudy,52.35,1546707600,1,9.26,80,4.86,1.45
54.21,0.66,20190105,39.88,18,0.58,partly-cloudy-day,0.0,0.0,,1016.92,Mostly Cloudy,54.21,1546711200,2,9.46,86,6.83,2.33
55.8,0.73,20190105,41.85,19,0.59,partly-cloudy-day,0.0,0.0,,1015.82,Mostly Cloudy,55.8,1546714800,2,9.59,97,9.93,4.02
56.96,0.8,20190105,44.23,20,0.62,partly-cloudy-day,0.0,0.0,,1015.05,Mostly Cloudy,56.96,1546718400,2,9.48,116,10.88,4.8
57.44,0.81,20190105,46.03,21,0.66,partly-cloudy-day,0.0,0.0,,1014.75,Mostly Cloudy,57.44,1546722000,2,9.52,126,9.88,4.87
57.41,1.0,20190105,47.05,22,0.68,cloudy,0.0,0.0,,1014.45,Overcast,57.41,1546725600,1,9.42,128,10.81,5.53
57.39,1.0,20190105,47.2,23,0.69,cloudy,0.0,0.0,,1014.21,Overcast,57.39,1546729200,1,9.33,130,11.07,5.21
56.99,1.0,20190106,47.91,00,0.72,cloudy,0.0012,0.18,rain,1014.55,Overcast,56.99,1546732800,0,7.65,127,9.86,4.36
55.55,1.0,20190106,48.67,01,0.78,cloudy,0.0116,0.57,rain,1014.35,Overcast,55.55,1546736400,0,7.87,106,9.27,4.71
54.86,1.0,20190106,48.4,02,0.79,cloudy,0.0032,0.18,rain,1014.45,Overcast,54.86,1546740000,0,7.89,88,10.97,4.98
53.78,1.0,20190106,46.82,03,0.77,cloudy,0.0022,0.3,rain,1014.09,Overcast,53.78,1546743600,0,8.42,94,12.99,5.66
52.6,1.0,20190106,46.25,04,0.79,rain,0.0177,0.77,rain,1014.27,Light Rain,52.6,1546747200,0,7.19,94,11.16,4.85
51.37,1.0,20190106,46.18,05,0.82,rain,0.1023,1.0,rain,1015.45,Rain,51.37,1546750800,0,4.24,81,8.78,2.85
50.83,1.0,20190106,46.47,06,0.85,rain,0.1241,1.0,rain,1015.12,Rain,50.83,1546754400,0,7.99,53,8.23,3.26
50.51,0.9,20190106,46.23,07,0.85,rain,0.0528,0.73,rain,1014.94,Light Rain,50.51,1546758000,0,9.13,65,7.71,3.31
50.49,1.0,20190106,45.84,08,0.84,cloudy,0.0109,0.2,rain,1014.84,Overcast,50.49,1546761600,0,8.77,81,8.87,3.72
50.68,0.89,20190106,45.98,09,0.84,partly-cloudy-night,0.0011,0.14,rain,1014.79,Mostly Cloudy,50.68,1546765200,0,8.97,71,7.01,2.94
50.79,1.0,20190106,46.01,10,0.84,cloudy,0.0025,0.2,rain,1015.25,Overcast,50.79,1546768800,0,8.9,71,4.86,2.13
50.64,1.0,20190106,46.21,11,0.85,rain,0.018,0.65,rain,1015.44,Light Rain,50.64,1546772400,0,6.93,17,5.07,1.62
50.52,1.0,20190106,46.47,12,0.86,cloudy,0.0072,0.5,rain,1015.84,Overcast,50.52,1546776000,0,9.12,9,3.86,1.82
49.96,0.74,20190106,46.07,13,0.86,partly-cloudy-night,0.0031,0.3,rain,1015.65,Mostly Cloudy,49.96,1546779600,0,8.53,4,4.82,2.04
48.88,0.37,20190106,45.16,14,0.87,partly-cloudy-night,0.0,0.0,,1016.01,Partly Cloudy,48.88,1546783200,0,7.9,4,3.15,1.13
47.61,0.13,20190106,44.04,15,0.87,clear-night,0.0003,0.06,rain,1017.31,Clear,47.61,1546786800,0,7.46,342,2.66,1.27
47.74,0.19,20190106,44.0,16,0.87,clear-day,0.0,0.0,,1018.55,Clear,47.74,1546790400,0,8.05,341,3.83,1.42
51.48,0.62,20190106,46.13,17,0.82,partly-cloudy-day,0.0,0.0,,1019.48,Mostly Cloudy,51.48,1546794000,1,9.46,351,4.05,1.37
54.09,0.39,20190106,47.28,18,0.78,partly-cloudy-day,0.0,0.0,,1020.55,Partly Cloudy,54.09,1546797600,2,9.96,357,5.04,0.65
56.17,0.52,20190106,46.21,19,0.69,partly-cloudy-day,0.0,0.0,,1020.2,Partly Cloudy,56.17,1546801200,2,9.96,243,5.46,0.82
