apparentTemperature,cloudCover,dateKey,dewPoint,hourKey,humidity,icon,precipIntensity,precipProbability,precipType,pressure,summary,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
53.41,0.68,20171231,45.57,08,0.75,partly-cloudy-night,0.0,0.0,,1018.19,Mostly Cloudy,53.41,1514707200,0.0,2.17,32.0,1.18,0.33
53.08,0.8,20171231,45.15,09,0.74,fog,0.0,0.0,,1017.66,Foggy,53.08,1514710800,0.0,1.31,68.0,1.14,0.32
52.68,0.92,20171231,45.64,10,0.77,fog,0.0,0.0,,1017.89,Foggy,52.68,1514714400,0.0,1.15,176.0,0.98,0.02
53.03,0.92,20171231,46.13,11,0.77,fog,0.0,0.0,,1018.18,Foggy,53.03,1514718000,0.0,1.0,3.0,1.02,0.1
52.74,0.83,20171231,46.2,12,0.78,fog,0.0,0.0,,1017.81,Foggy,52.74,1514721600,0.0,1.48,54.0,1.18,0.18
52.8,0.81,20171231,46.51,13,0.79,fog,0.0,0.0,,1018.46,Foggy,52.8,1514725200,0.0,1.67,19.0,0.99,0.07
52.53,0.82,20171231,46.47,14,0.8,fog,0.0,0.0,,1018.94,Foggy,52.53,1514728800,0.0,1.64,43.0,1.3,0.29
51.88,0.92,20171231,45.73,15,0.79,fog,0.0,0.0,,1019.35,Foggy,51.88,1514732400,0.0,1.48,52.0,1.29,0.38
51.6,0.88,20171231,46.11,16,0.81,fog,0.0,0.0,,1019.8,Foggy,51.6,1514736000,0.0,1.3,56.0,1.25,0.21
53.89,0.88,20171231,47.31,17,0.78,fog,0.0,0.0,,1020.19,Foggy,53.89,1514739600,1.0,0.63,79.0,1.36,0.24
56.61,0.8,20171231,47.8,18,0.72,fog,0.0,0.0,,1020.47,Foggy,56.61,1514743200,2.0,1.87,112.0,1.98,0.32
60.37,0.24,20171231,48.22,19,0.64,clear-day,0.0,0.0,,1020.2,Clear,60.37,1514746800,2.0,3.3,180.0,3.01,0.49
63.87,0.08,20171231,47.54,20,0.55,clear-day,0.0,0.0,,1019.13,Clear,63.87,1514750400,3.0,4.26,172.0,3.5,0.59
66.15,0.04,20171231,46.53,21,0.49,clear-day,0.0,0.0,,1018.23,Clear,66.15,1514754000,3.0,5.69,176.0,4.42,1.09
67.13,0.0,20171231,46.76,22,0.48,clear-day,0.0,0.0,,1017.84,Clear,67.13,1514757600,2.0,6.76,204.0,7.53,2.75
66.07,0.06,20171231,48.52,23,0.53,clear-day,0.0,0.0,,1017.79,Clear,66.07,1514761200,1.0,8.2,224.0,7.44,2.75
63.86,0.0,20180101,50.04,00,0.61,clear-day,0.0,0.0,,1017.87,Clear,63.86,1514764800,0.0,7.97,245.0,6.28,2.24
60.54,0.13,20180101,50.5,01,0.69,clear-night,0.0,0.0,,1018.15,Clear,60.54,1514768400,0.0,6.63,250.0,3.1,0.99
58.39,0.24,20180101,50.69,02,0.76,clear-night,0.0,0.0,,1019.01,Clear,58.39,1514772000,0.0,6.68,251.0,4.34,1.54
57.29,0.04,20180101,50.46,03,0.78,clear-night,0.0,0.0,,1019.52,Clear,57.29,1514775600,0.0,5.3,282.0,2.44,0.58
56.29,0.0,20180101,49.93,04,0.79,clear-night,0.0,0.0,,1019.85,Clear,56.29,1514779200,0.0,5.2,324.0,1.86,0.41
55.17,0.0,20180101,48.83,05,0.79,clear-night,0.0,0.0,,1020.03,Clear,55.17,1514782800,0.0,3.99,337.0,1.22,0.22
54.14,0.0,20180101,48.14,06,0.8,clear-night,0.0,0.0,,1020.54,Clear,54.14,1514786400,0.0,3.27,352.0,0.79,0.08
53.55,0.0,20180101,47.68,07,0.8,clear-night,0.0,0.0,,1021.16,Clear,53.55,1514790000,0.0,3.02,44.0,1.14,0.24
53.14,0.0,20180101,47.19,08,0.8,clear-night,0.0,0.0,,1021.06,Clear,53.14,1514793600,0.0,2.59,23.0,1.47,0.37
51.81,0.0,20180101,45.98,09,0.8,clear-night,0.0,0.0,,1020.54,Clear,51.81,1514797200,0.0,2.21,41.0,0.96,0.25
51.08,0.07,20180101,45.03,10,0.8,clear-night,0.0,0.0,,1020.61,Clear,51.08,1514800800,0.0,2.0,52.0,0.81,0.2
50.05,0.02,20180101,44.48,11,0.81,fog,0.0,0.0,,1020.37,Foggy,50.05,1514804400,0.0,1.89,30.0,1.05,0.26
49.87,0.05,20180101,43.65,12,0.79,clear-night,0.0,0.0,,1020.6,Clear,49.87,1514808000,0.0,2.07,13.0,0.75,0.1
49.05,0.16,20180101,43.24,13,0.8,clear-night,0.0,0.0,,1020.53,Clear,49.05,1514811600,0.0,2.54,23.0,0.86,0.33
48.86,0.22,20180101,43.14,14,0.81,clear-night,0.0,0.0,,1020.32,Clear,48.86,1514815200,0.0,3.12,37.0,1.61,0.56
48.91,0.11,20180101,42.51,15,0.78,clear-night,0.0,0.0,,1020.39,Clear,48.91,1514818800,0.0,2.96,18.0,1.17,0.27
49.95,0.01,20180101,43.15,16,0.77,clear-day,0.0,0.0,,1020.98,Clear,49.95,1514822400,0.0,3.31,19.0,0.65,0.06
55.04,0.01,20180101,46.06,17,0.72,clear-day,0.0,0.0,,1021.8,Clear,55.04,1514826000,1.0,3.89,80.0,1.02,0.11
60.11,0.0,20180101,46.75,18,0.61,clear-day,0.0,0.0,,1022.55,Clear,60.11,1514829600,2.0,5.43,17.0,2.16,0.04
