apparentTemperature,cloudCover,dateKey,dewPoint,hourKey,humidity,icon,precipAccumulation,precipIntensity,precipProbability,precipType,pressure,summary,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
-1.96,0.75,20171231,-7.64,05,0.76,partly-cloudy-night,,0.0,0.0,,1018.72,Mostly Cloudy,-1.96,1514696400,0.0,6.66,18.0,3.86,1.63
-2.99,0.75,20171231,-9.02,06,0.75,partly-cloudy-night,,0.0,0.0,,1018.8,Mostly Cloudy,-2.99,1514700000,0.0,5.49,23.0,3.42,0.99
-2.68,0.19,20171231,-9.1,07,0.73,clear-night,,0.0,0.0,,1019.61,Clear,-2.68,1514703600,0.0,7.6,350.0,3.54,1.1
-2.7,0.75,20171231,-9.49,08,0.72,partly-cloudy-night,,0.0,0.0,,1020.62,Mostly Cloudy,-2.7,1514707200,0.0,7.0,3.0,3.91,0.94
-3.1,0.44,20171231,-9.93,09,0.72,partly-cloudy-night,,0.0,0.0,,1021.41,Partly Cloudy,-3.1,1514710800,0.0,7.05,320.0,4.27,0.9
-3.37,0.44,20171231,-11.09,10,0.69,partly-cloudy-night,,0.0,0.0,,1022.22,Partly Cloudy,-3.37,1514714400,0.0,7.6,304.0,6.23,1.42
-3.55,0.75,20171231,-11.07,11,0.69,partly-cloudy-night,,0.0,0.0,,1022.92,Mostly Cloudy,-3.55,1514718000,0.0,7.16,314.0,7.09,1.77
-4.43,0.44,20171231,-11.79,12,0.7,partly-cloudy-night,,0.0,0.0,,1024.01,Partly Cloudy,-4.43,1514721600,0.0,7.6,305.0,6.11,2.02
-4.78,0.75,20171231,-12.42,13,0.69,partly-cloudy-day,,0.0,0.0,,1024.7,Mostly Cloudy,-4.78,1514725200,0.0,7.6,310.0,7.17,2.18
-12.27,0.75,20171231,-11.51,14,0.68,partly-cloudy-day,,0.0,0.0,,1024.89,Mostly Cloudy,-3.53,1514728800,0.0,7.6,318.0,8.52,3.64
-10.46,0.44,20171231,-11.53,15,0.63,partly-cloudy-day,,0.0,0.0,,1025.9,Partly Cloudy,-2.22,1514732400,1.0,7.67,306.0,9.79,3.48
-9.27,0.75,20171231,-11.26,16,0.6,partly-cloudy-day,,0.0,0.0,,1025.51,Mostly Cloudy,-0.89,1514736000,1.0,7.53,313.0,9.45,3.66
-8.31,1.0,20171231,-10.61,17,0.59,cloudy,,0.0,0.0,,1025.08,Overcast,0.37,1514739600,1.0,7.71,320.0,11.09,3.92
1.16,0.75,20171231,-9.9,18,0.59,partly-cloudy-day,,0.0,0.0,,1024.8,Mostly Cloudy,1.16,1514743200,1.0,5.11,310.0,9.78,2.95
1.69,1.0,20171231,-8.97,19,0.6,cloudy,,0.0,0.0,,1024.61,Overcast,1.69,1514746800,1.0,6.71,328.0,9.22,2.91
0.95,1.0,20171231,-8.72,20,0.63,cloudy,,0.0,0.0,,1024.99,Overcast,0.95,1514750400,0.0,3.67,335.0,8.6,2.16
-0.11,1.0,20171231,-9.56,21,0.63,cloudy,,0.0,0.0,,1025.32,Overcast,-0.11,1514754000,0.0,3.91,352.0,7.82,1.98
-1.49,1.0,20171231,-10.48,22,0.65,cloudy,,0.0,0.0,,1025.9,Overcast,-1.49,1514757600,0.0,6.0,355.0,5.05,1.93
-2.72,1.0,20171231,-11.67,23,0.65,cloudy,,0.0,0.0,,1026.59,Overcast,-2.72,1514761200,0.0,10.0,8.0,5.9,1.81
-3.81,1.0,20180101,-12.74,00,0.64,cloudy,,0.0,0.0,,1027.49,Overcast,-3.81,1514764800,0.0,7.17,349.0,6.17,1.44
-4.91,0.75,20180101,-13.6,01,0.65,partly-cloudy-night,,0.0,0.0,,1027.59,Mostly Cloudy,-4.91,1514768400,0.0,7.16,345.0,4.26,1.29
-5.44,0.19,20180101,-14.25,02,0.65,clear-night,,0.0,0.0,,1027.69,Clear,-5.44,1514772000,0.0,7.16,349.0,4.19,0.73
-6.09,0.75,20180101,-14.4,03,0.66,partly-cloudy-night,,0.0,0.0,,1027.8,Mostly Cloudy,-6.09,1514775600,0.0,7.6,345.0,3.64,0.73
-6.16,1.0,20180101,-14.28,04,0.67,cloudy,,0.0,0.0,,1028.21,Overcast,-6.16,1514779200,0.0,7.16,332.0,3.32,1.09
