apparentTemperature,cloudCover,dateKey,dewPoint,hourKey,humidity,icon,precipAccumulation,precipIntensity,precipProbability,precipType,pressure,summary,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
25.09,0.97,20171231,15.48,07,0.66,cloudy,,0.0,0.0,,1025.8,Overcast,25.09,1514703600,0.0,5.03,199.0,2.81,0.61
25.45,0.7,20171231,15.74,08,0.66,partly-cloudy-night,,0.0,0.0,,1024.7,Mostly Cloudy,25.45,1514707200,0.0,4.4,205.0,2.3,0.5
25.59,0.84,20171231,15.98,09,0.66,partly-cloudy-night,,0.0,0.0,,1024.1,Mostly Cloudy,25.59,1514710800,0.0,5.53,197.0,1.9,0.34
25.97,0.76,20171231,16.27,10,0.66,partly-cloudy-night,,0.0,0.0,,1023.1,Mostly Cloudy,25.97,1514714400,0.0,4.43,182.0,1.71,0.37
26.11,0.82,20171231,16.49,11,0.66,partly-cloudy-night,,0.0,0.0,,1022.92,Mostly Cloudy,26.11,1514718000,0.0,5.33,180.0,2.14,0.54
26.12,0.84,20171231,16.5,12,0.66,partly-cloudy-night,,0.0,0.0,,1023.42,Mostly Cloudy,26.12,1514721600,0.0,5.32,180.0,2.37,0.62
26.06,1.0,20171231,16.42,13,0.66,cloudy,,0.0,0.0,,1023.49,Overcast,26.06,1514725200,0.0,5.32,183.0,2.51,0.43
24.78,0.77,20171231,15.5,14,0.67,partly-cloudy-night,,0.0,0.0,,1028.16,Mostly Cloudy,24.78,1514728800,0.0,3.74,91.0,2.52,0.47
22.96,0.79,20171231,14.51,15,0.7,partly-cloudy-day,,0.0,0.0,,1028.89,Mostly Cloudy,22.96,1514732400,0.0,4.57,59.0,5.34,1.15
21.64,0.92,20171231,13.34,16,0.7,partly-cloudy-day,,0.0,0.0,,1029.41,Mostly Cloudy,21.64,1514736000,0.0,2.55,28.0,7.03,1.59
20.66,0.87,20171231,12.35,17,0.7,partly-cloudy-day,,0.0,0.0,,1029.26,Mostly Cloudy,20.66,1514739600,1.0,4.1,6.0,8.74,2.8
15.15,0.91,20171231,11.42,18,0.69,partly-cloudy-day,,0.0,0.0,,1029.44,Mostly Cloudy,19.99,1514743200,2.0,4.0,20.0,9.54,3.35
14.42,1.0,20171231,10.25,19,0.68,cloudy,,0.0,0.0,,1029.69,Overcast,18.99,1514746800,2.0,3.26,28.0,8.79,3.11
18.52,1.0,20171231,9.57,20,0.67,cloudy,,0.0,0.0,,1029.8,Overcast,18.52,1514750400,2.0,3.44,30.0,8.56,2.94
18.25,0.84,20171231,9.41,21,0.68,partly-cloudy-day,,0.0,0.0,,1029.58,Mostly Cloudy,18.25,1514754000,1.0,4.09,25.0,7.66,2.54
18.19,0.8,20171231,9.62,22,0.69,partly-cloudy-day,,0.0,0.0,,1030.01,Mostly Cloudy,18.19,1514757600,0.0,4.14,17.0,5.3,1.48
17.99,0.71,20171231,9.39,23,0.68,partly-cloudy-day,,0.0,0.0,,1030.18,Mostly Cloudy,17.99,1514761200,0.0,3.96,25.0,4.12,0.91
16.62,0.73,20180101,8.81,00,0.71,partly-cloudy-night,,0.0,0.0,,1031.45,Mostly Cloudy,16.62,1514764800,0.0,3.73,29.0,2.71,0.6
15.45,0.73,20180101,8.23,01,0.73,partly-cloudy-night,,0.0,0.0,,1032.27,Mostly Cloudy,15.45,1514768400,0.0,3.63,56.0,3.05,0.78
14.48,0.58,20180101,7.66,02,0.74,partly-cloudy-night,,0.0,0.0,,1033.0,Partly Cloudy,14.48,1514772000,0.0,3.92,75.0,3.01,0.79
13.79,0.51,20180101,7.24,03,0.75,partly-cloudy-night,,0.0,0.0,,1032.88,Partly Cloudy,13.79,1514775600,0.0,4.36,85.0,2.77,0.76
